Timestamp,Mention your age.,How often do you have Maggi?,What's your quantity of consumption  at a time?,Which noodle brand would you prefer after Maggi?,Do you add other ingredients to your Maggi?,"If Yes, then which ingredients?",Do you consider Maggi noodles as your Go-To meal?  ,Did Lead controversy brought decline in your consumption pattern of Maggi?,Do you find nutritive value in Maggi?,Would you prefer a pack of quantity more than 1 pkt and less than 2 pkts i.e. the pack  costing Rs.15/- for a single meal?,Do you prefer buying Maggi Masala-ae-Magic with Maggi noodles? ,Would you want Maggi to increase its tastemaker size at the cost of increased price?  
2021/06/07 10:20:07 PM GMT+5:30,18-26,Once in two weeks,2 PKTS,Yippee,No,Sauces,No,"No, It's still the same",No,Yes,Yes,Yes
2021/06/07 10:20:11 PM GMT+5:30,Above 26,Less often,2 PKTS,Yippee,No,,Yes,"No, It's still the same",No,No,No,No
2021/06/07 10:20:32 PM GMT+5:30,18-26,Once in a week,1 PKT,Yippee,Yes,Veggies;Sauces,Yes,"No, It's still the same",No,Yes,Yes,No
2021/06/07 10:24:46 PM GMT+5:30,18-26,More than once in a week,More than 2 PKTS,Top Ramen,Yes,"Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"No, It's still the same",No,No,Yes,Yes
2021/06/07 10:25:28 PM GMT+5:30,18-26,Once in a week,2 PKTS,Knorr,Yes,Veggies,Yes,"No, It's still the same",No,Yes,No,No
2021/06/07 10:33:01 PM GMT+5:30,18-26,Once in a week,1 PKT,Other,Yes,"Spices(oregano, chili flakes, etc.)",No,"No, It's still the same",No,Yes,Yes,No
2021/06/07 10:35:04 PM GMT+5:30,18-26,Once in a week,1 PKT,Yippee,Yes,"Veggies;Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"No, It's still the same",No,Yes,Yes,Yes
2021/06/07 10:52:54 PM GMT+5:30,18-26,Once in a week,1 PKT,Yippee,Yes,Veggies,No,"No, It's still the same",No,No,Yes,No
2021/06/07 10:58:05 PM GMT+5:30,18-26,Once in two weeks,1 PKT,Knorr,Yes,"Spices(oregano, chili flakes, etc.)",No,"Yes, It did",No,Yes,Yes,Yes
2021/06/07 10:59:05 PM GMT+5:30,18-26,Once in two weeks,1 PKT,Yippee,No,Cream/Cheese,No,"No, It's still the same",No,No,Yes,No
2021/06/07 11:04:29 PM GMT+5:30,18-26,Once in a week,1 PKT,Yippee,Yes,Veggies;Sauces;Cream/Cheese,Yes,"No, It's still the same",No,Yes,No,No
2021/06/07 11:05:11 PM GMT+5:30,18-26,More than once in a week,2 PKTS,Ching's,Yes,"Veggies;Sauces;Spices(oregano, chili flakes, etc.);Cream/Cheese;Other",Yes,"No, It's still the same",Yes,Yes,Yes,Yes
2021/06/07 11:05:26 PM GMT+5:30,18-26,Once in a week,1 PKT,Yippee,Yes,"Spices(oregano, chili flakes, etc.)",Yes,"No, It's still the same",No,Yes,No,Yes
2021/06/07 11:13:24 PM GMT+5:30,18-26,Once in two weeks,1 PKT,Knorr,Yes,"Spices(oregano, chili flakes, etc.);Other",Yes,"No, It's still the same",No,Yes,Yes,No
2021/06/07 11:29:44 PM GMT+5:30,18-26,Less often,1 PKT,Top Ramen,No,,No,"Yes, It did",No,No,No,Yes
2021/06/07 11:30:57 PM GMT+5:30,18-26,Once in two weeks,2 PKTS,Yippee,No,Cream/Cheese,No,"No, It's still the same",Yes,Yes,Yes,No
2021/06/07 11:42:36 PM GMT+5:30,18-26,Once in a month,2 PKTS,Yippee,Yes,"Veggies;Sauces;Spices(oregano, chili flakes, etc.);Cream/Cheese",Yes,"Yes, It did",No,Yes,Yes,Yes
2021/06/08 12:11:27 AM GMT+5:30,18-26,Once in a week,More than 2 PKTS,Yippee,No,Veggies,No,"No, It's still the same",No,No,No,Yes
2021/06/08 1:32:36 AM GMT+5:30,18-26,Less often,1 PKT,Other,No,,No,"No, It's still the same",No,No,No,No
